role	status	source_path	shared_path	notes
machine-readable 50-repeat realistic null summary	copied	results/calibration/realistic_null_summary.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_REALISTIC_NULL_SUMMARY.tsv	source copied
machine-readable 50-repeat rare-state power summary	copied	results/calibration/rare_state_power_summary.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_RARE_STATE_POWER_SUMMARY.tsv	source copied
rare-state power claim boundary report	copied	docs/rare_state_claim_boundary.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_RARE_STATE_CLAIM_BOUNDARY.md	source copied
machine-readable rare-state power claim boundary	copied	results/submission/rare_state_claim_boundary.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_RARE_STATE_CLAIM_BOUNDARY.tsv	source copied
machine-readable null and power grid design	copied	results/calibration/manuscript_grade_null_power_grid_design.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_NULL_POWER_GRID_DESIGN.tsv	source copied
annotation boundary table for added datasets	copied	docs/added_dataset_annotation_boundary.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_ADDED_DATASET_ANNOTATION_BOUNDARY.md	source copied
machine-readable annotation boundary table	copied	results/submission/added_dataset_annotation_boundary.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_ADDED_DATASET_ANNOTATION_BOUNDARY.tsv	source copied
shared package README	written	generated	D:\99、共用信息\RMTGuard_20_50投稿资料包\README.md	generated shared helper
shared root registry	written	generated	D:\99、共用信息\PROJECT_SHARED_INFO_REGISTRY.md	generated shared helper
project status index	written	generated	D:\99、共用信息\项目信息索引\RMTGuard_20_50_STATUS_INDEX.md	generated shared helper
journal verification template	written	generated	D:\99、共用信息\投稿前手动操作模板\JOURNAL_METRICS_CAS_WARNING_VERIFICATION_TEMPLATE.md	generated shared helper
methods paper external AI review prompt	written	generated	D:\99、共用信息\AI外审通用模板\METHODS_PAPER_EXTERNAL_AI_REVIEW_PROMPT.md	generated shared helper
